FPIS,Observed,Expected,OE,RR,date
55133200901,0,0.064,0.0,0.0,2021-06-02
55133201404,0,0.059,0.0,0.0,2021-06-02
55133201402,0,0.077,0.0,0.0,2021-06-02
55133201300,0,0.086,0.0,0.0,2021-06-02
55133201203,0,0.053,0.0,0.0,2021-06-02
55133201202,0,0.1,0.0,0.0,2021-06-02
55133201201,0,0.031,0.0,0.0,2021-06-02
55133201102,0,0.051,0.0,0.0,2021-06-02
55133201101,0,0.084,0.0,0.0,2021-06-02
55133201000,0,0.1,0.0,0.0,2021-06-02
55133201403,0,0.066,0.0,0.0,2021-06-02
55131450105,0,0.043,0.0,0.0,2021-06-02
55133204003,0,0.066,0.0,0.0,2021-06-02
55133204100,0,0.086,0.0,0.0,2021-06-02
55139003300,0,0.041,0.0,0.0,2021-06-02
55139003200,0,0.042,0.0,0.0,2021-06-02
55139003100,0,0.033,0.0,0.0,2021-06-02
55139003000,0,0.025,0.0,0.0,2021-06-02
55139002900,0,0.04,0.0,0.0,2021-06-02
55139002800,0,0.075,0.0,0.0,2021-06-02
55139002700,0,0.041,0.0,0.0,2021-06-02
55139002602,0,0.08,0.0,0.0,2021-06-02
55139002601,0,0.062,0.0,0.0,2021-06-02
55139002500,0,0.083,0.0,0.0,2021-06-02
55139002400,0,0.17,0.0,0.0,2021-06-02
55139002300,0,0.092,0.0,0.0,2021-06-02
55139002202,0,0.047,0.0,0.0,2021-06-02
55139002201,0,0.08,0.0,0.0,2021-06-02
55139002100,0,0.063,0.0,0.0,2021-06-02
55139002000,0,0.12,0.0,0.0,2021-06-02
55139001900,0,0.081,0.0,0.0,2021-06-02
55139003400,0,0.071,0.0,0.0,2021-06-02
55139003500,0,0.046,0.0,0.0,2021-06-02
55139003600,0,0.066,0.0,0.0,2021-06-02
55139003701,0,0.06,0.0,0.0,2021-06-02
55141011700,0,0.073,0.0,0.0,2021-06-02
55141011600,0,0.082,0.0,0.0,2021-06-02
55141011500,0,0.092,0.0,0.0,2021-06-02
55141011400,0,0.081,0.0,0.0,2021-06-02
55141011300,0,0.077,0.0,0.0,2021-06-02
55141011200,2,0.066,30.42,31.05,2021-06-02
55141011100,0,0.059,0.0,0.0,2021-06-02
55141011000,0,0.093,0.0,0.0,2021-06-02
55139001804,0,0.076,0.0,0.0,2021-06-02
55141010900,0,0.068,0.0,0.0,2021-06-02
55141010700,0,0.084,0.0,0.0,2021-06-02
55141010600,0,0.069,0.0,0.0,2021-06-02
55141010500,0,0.05,0.0,0.0,2021-06-02
55141010400,0,0.056,0.0,0.0,2021-06-02
55141010300,0,0.047,0.0,0.0,2021-06-02
55141010200,0,0.087,0.0,0.0,2021-06-02
55141010100,0,0.077,0.0,0.0,2021-06-02
55139003702,0,0.14,0.0,0.0,2021-06-02
55141010800,0,0.046,0.0,0.0,2021-06-02
55139001803,0,0.1,0.0,0.0,2021-06-02
55139001801,0,0.085,0.0,0.0,2021-06-02
55139001700,0,0.089,0.0,0.0,2021-06-02
55135101200,0,0.062,0.0,0.0,2021-06-02
55135101100,0,0.079,0.0,0.0,2021-06-02
55135101000,0,0.1,0.0,0.0,2021-06-02
55135100900,0,0.099,0.0,0.0,2021-06-02
55135100800,0,0.074,0.0,0.0,2021-06-02
55135100700,0,0.054,0.0,0.0,2021-06-02
55135100600,0,0.083,0.0,0.0,2021-06-02
55135100500,0,0.051,0.0,0.0,2021-06-02
55137960100,0,0.047,0.0,0.0,2021-06-02
55135100400,0,0.075,0.0,0.0,2021-06-02
55135100200,0,0.044,0.0,0.0,2021-06-02
55135100100,0,0.064,0.0,0.0,2021-06-02
55133204502,0,0.1,0.0,0.0,2021-06-02
55133204501,0,0.042,0.0,0.0,2021-06-02
55133204400,0,0.035,0.0,0.0,2021-06-02
55133204302,1,0.066,15.05,15.2,2021-06-02
55133204301,0,0.094,0.0,0.0,2021-06-02
55133204200,0,0.12,0.0,0.0,2021-06-02
55135100300,0,0.061,0.0,0.0,2021-06-02
55133204004,0,0.071,0.0,0.0,2021-06-02
55137960200,0,0.064,0.0,0.0,2021-06-02
55137960400,0,0.054,0.0,0.0,2021-06-02
55139001600,0,0.08,0.0,0.0,2021-06-02
55139001500,0,0.051,0.0,0.0,2021-06-02
55139001400,0,0.064,0.0,0.0,2021-06-02
55139001300,0,0.041,0.0,0.0,2021-06-02
55139001200,1,0.034,29.14,29.44,2021-06-02
55139001100,0,0.071,0.0,0.0,2021-06-02
55139001000,0,0.045,0.0,0.0,2021-06-02
55139000900,0,0.058,0.0,0.0,2021-06-02
55137960300,0,0.054,0.0,0.0,2021-06-02
55139000800,0,0.051,0.0,0.0,2021-06-02
55139000500,0,0.11,0.0,0.0,2021-06-02
55139000400,0,0.048,0.0,0.0,2021-06-02
55139000300,0,0.07,0.0,0.0,2021-06-02
55139000200,0,0.042,0.0,0.0,2021-06-02
55139000100,0,0.042,0.0,0.0,2021-06-02
55137960800,0,0.072,0.0,0.0,2021-06-02
55137960700,0,0.071,0.0,0.0,2021-06-02
55137960600,0,0.035,0.0,0.0,2021-06-02
55139000700,0,0.079,0.0,0.0,2021-06-02
